2026-03-26 16:57:32.674 [main] INFO  o.s.v.beanvalidation.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-03-26 16:57:33.403 [main] INFO  c.b.m.e.spring.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@2bffa76d
2026-03-26 16:57:33.732 [main] INFO  com.zaxxer.hikari.HikariDataSource - MiQroProbeHikariPool - Starting...
2026-03-26 16:57:34.049 [main] INFO  com.zaxxer.hikari.pool.HikariPool - MiQroProbeHikariPool - Added connection com.mysql.cj.jdbc.ConnectionImpl@40b8158d
2026-03-26 16:57:34.050 [main] INFO  com.zaxxer.hikari.HikariDataSource - MiQroProbeHikariPool - Start completed.
2026-03-26 16:57:34.193 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9093"]
2026-03-26 16:57:34.216 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 9093 (http) with context path '/api'
2026-03-26 16:57:34.224 [main] INFO  c.miqroera.biosensor.MofBasedBiosensorApplication - Started MofBasedBiosensorApplication in 3.719 seconds (process running for 4.585)
2026-03-26 16:58:01.011 [http-nio-9093-exec-2] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-26 16:58:01.011 [http-nio-9093-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-26 16:58:01.012 [http-nio-9093-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-03-26 16:59:44.531 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-03-26 16:59:49.233 [main] INFO  c.miqroera.biosensor.MofBasedBiosensorApplication - Starting MofBasedBiosensorApplication using Java 17.0.12 with PID 35304 (D:\code\work\2-bio-group\mof-biosensor\mof-biosensor-server\target\classes started by PC in D:\code\work\2-bio-group\mof-biosensor\mof-biosensor-server)
2026-03-26 16:59:49.235 [main] INFO  c.miqroera.biosensor.MofBasedBiosensorApplication - The following 2 profiles are active: "knife4j", "dev"
2026-03-26 16:59:49.889 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-26 16:59:49.890 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2026-03-26 16:59:49.902 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 JDBC repository interfaces.
2026-03-26 16:59:49.912 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-26 16:59:49.913 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-03-26 16:59:49.922 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 2 ms. Found 0 Redis repository interfaces.
2026-03-26 16:59:50.422 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 9093 (http)
2026-03-26 16:59:50.432 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9093"]
2026-03-26 16:59:50.434 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-03-26 16:59:50.434 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.52]
2026-03-26 16:59:50.492 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2026-03-26 16:59:50.492 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1216 ms
2026-03-26 16:59:50.690 [main] INFO  o.s.v.beanvalidation.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-03-26 16:59:51.359 [main] INFO  c.b.m.e.spring.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@2bffa76d
2026-03-26 16:59:51.671 [main] INFO  com.zaxxer.hikari.HikariDataSource - MiQroProbeHikariPool - Starting...
2026-03-26 16:59:51.998 [main] INFO  com.zaxxer.hikari.pool.HikariPool - MiQroProbeHikariPool - Added connection com.mysql.cj.jdbc.ConnectionImpl@40b8158d
2026-03-26 16:59:52.000 [main] INFO  com.zaxxer.hikari.HikariDataSource - MiQroProbeHikariPool - Start completed.
2026-03-26 16:59:52.136 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9093"]
2026-03-26 16:59:52.158 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 9093 (http) with context path '/api'
2026-03-26 16:59:52.167 [main] INFO  c.miqroera.biosensor.MofBasedBiosensorApplication - Started MofBasedBiosensorApplication in 3.546 seconds (process running for 4.434)
2026-03-26 16:59:55.360 [http-nio-9093-exec-9] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-26 16:59:55.360 [http-nio-9093-exec-9] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-26 16:59:55.361 [http-nio-9093-exec-9] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-03-26 17:01:54.863 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-03-26 17:01:59.105 [main] INFO  c.miqroera.biosensor.MofBasedBiosensorApplication - Starting MofBasedBiosensorApplication using Java 17.0.12 with PID 26140 (D:\code\work\2-bio-group\mof-biosensor\mof-biosensor-server\target\classes started by PC in D:\code\work\2-bio-group\mof-biosensor\mof-biosensor-server)
2026-03-26 17:01:59.107 [main] INFO  c.miqroera.biosensor.MofBasedBiosensorApplication - The following 2 profiles are active: "knife4j", "dev"
2026-03-26 17:01:59.720 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-26 17:01:59.721 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2026-03-26 17:01:59.733 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 JDBC repository interfaces.
2026-03-26 17:01:59.743 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-26 17:01:59.744 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-03-26 17:01:59.759 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
2026-03-26 17:02:00.254 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 9093 (http)
2026-03-26 17:02:00.264 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9093"]
2026-03-26 17:02:00.265 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-03-26 17:02:00.265 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.52]
2026-03-26 17:02:00.325 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2026-03-26 17:02:00.325 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1180 ms
2026-03-26 17:02:00.517 [main] INFO  o.s.v.beanvalidation.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-03-26 17:02:01.187 [main] INFO  c.b.m.e.spring.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@3b718392
2026-03-26 17:02:01.495 [main] INFO  com.zaxxer.hikari.HikariDataSource - MiQroProbeHikariPool - Starting...
2026-03-26 17:02:01.788 [main] INFO  com.zaxxer.hikari.pool.HikariPool - MiQroProbeHikariPool - Added connection com.mysql.cj.jdbc.ConnectionImpl@3487947c
2026-03-26 17:02:01.790 [main] INFO  com.zaxxer.hikari.HikariDataSource - MiQroProbeHikariPool - Start completed.
2026-03-26 17:02:01.927 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9093"]
2026-03-26 17:02:01.944 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 9093 (http) with context path '/api'
2026-03-26 17:02:01.953 [main] INFO  c.miqroera.biosensor.MofBasedBiosensorApplication - Started MofBasedBiosensorApplication in 3.408 seconds (process running for 4.186)
2026-03-26 17:02:09.200 [http-nio-9093-exec-1] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-26 17:02:09.201 [http-nio-9093-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-26 17:02:09.201 [http-nio-9093-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2026-03-26 17:03:57.002 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-03-26 17:04:01.258 [main] INFO  c.miqroera.biosensor.MofBasedBiosensorApplication - Starting MofBasedBiosensorApplication using Java 17.0.12 with PID 6652 (D:\code\work\2-bio-group\mof-biosensor\mof-biosensor-server\target\classes started by PC in D:\code\work\2-bio-group\mof-biosensor\mof-biosensor-server)
2026-03-26 17:04:01.259 [main] INFO  c.miqroera.biosensor.MofBasedBiosensorApplication - The following 2 profiles are active: "knife4j", "dev"
2026-03-26 17:04:01.915 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-26 17:04:01.916 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2026-03-26 17:04:01.928 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 JDBC repository interfaces.
2026-03-26 17:04:01.939 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-26 17:04:01.940 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-03-26 17:04:01.950 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 2 ms. Found 0 Redis repository interfaces.
2026-03-26 17:04:02.475 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 9093 (http)
2026-03-26 17:04:02.486 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9093"]
2026-03-26 17:04:02.487 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-03-26 17:04:02.487 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.52]
2026-03-26 17:04:02.550 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2026-03-26 17:04:02.550 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1251 ms
2026-03-26 17:04:02.756 [main] INFO  o.s.v.beanvalidation.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-03-26 17:04:03.466 [main] INFO  c.b.m.e.spring.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@3b718392
2026-03-26 17:04:03.796 [main] INFO  com.zaxxer.hikari.HikariDataSource - MiQroProbeHikariPool - Starting...
2026-03-26 17:04:04.229 [main] INFO  com.zaxxer.hikari.pool.HikariPool - MiQroProbeHikariPool - Added connection com.mysql.cj.jdbc.ConnectionImpl@2a341e3d
2026-03-26 17:04:04.232 [main] INFO  com.zaxxer.hikari.HikariDataSource - MiQroProbeHikariPool - Start completed.
2026-03-26 17:04:04.435 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9093"]
2026-03-26 17:04:04.467 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 9093 (http) with context path '/api'
2026-03-26 17:04:04.479 [main] INFO  c.miqroera.biosensor.MofBasedBiosensorApplication - Started MofBasedBiosensorApplication in 3.833 seconds (process running for 4.672)
2026-03-26 17:04:09.986 [http-nio-9093-exec-3] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-26 17:04:09.987 [http-nio-9093-exec-3] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-26 17:04:09.988 [http-nio-9093-exec-3] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-03-26 17:05:57.423 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-03-26 17:06:02.522 [main] INFO  c.miqroera.biosensor.MofBasedBiosensorApplication - Starting MofBasedBiosensorApplication using Java 17.0.12 with PID 18624 (D:\code\work\2-bio-group\mof-biosensor\mof-biosensor-server\target\classes started by PC in D:\code\work\2-bio-group\mof-biosensor\mof-biosensor-server)
2026-03-26 17:06:02.524 [main] INFO  c.miqroera.biosensor.MofBasedBiosensorApplication - The following 2 profiles are active: "knife4j", "dev"
2026-03-26 17:06:03.222 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-26 17:06:03.223 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2026-03-26 17:06:03.236 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 JDBC repository interfaces.
2026-03-26 17:06:03.248 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-26 17:06:03.249 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-03-26 17:06:03.262 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 Redis repository interfaces.
2026-03-26 17:06:03.810 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 9093 (http)
2026-03-26 17:06:03.821 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9093"]
2026-03-26 17:06:03.823 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-03-26 17:06:03.824 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.52]
2026-03-26 17:06:03.890 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2026-03-26 17:06:03.891 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1325 ms
2026-03-26 17:06:04.113 [main] INFO  o.s.v.beanvalidation.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-03-26 17:06:04.878 [main] INFO  c.b.m.e.spring.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@3b718392
2026-03-26 17:06:05.198 [main] INFO  com.zaxxer.hikari.HikariDataSource - MiQroProbeHikariPool - Starting...
2026-03-26 17:06:05.534 [main] INFO  com.zaxxer.hikari.pool.HikariPool - MiQroProbeHikariPool - Added connection com.mysql.cj.jdbc.ConnectionImpl@2a341e3d
2026-03-26 17:06:05.535 [main] INFO  com.zaxxer.hikari.HikariDataSource - MiQroProbeHikariPool - Start completed.
2026-03-26 17:06:05.688 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9093"]
2026-03-26 17:06:05.705 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 9093 (http) with context path '/api'
2026-03-26 17:06:05.719 [main] INFO  c.miqroera.biosensor.MofBasedBiosensorApplication - Started MofBasedBiosensorApplication in 3.806 seconds (process running for 4.622)
2026-03-26 17:06:14.606 [http-nio-9093-exec-3] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-26 17:06:14.606 [http-nio-9093-exec-3] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-26 17:06:14.607 [http-nio-9093-exec-3] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-03-26 17:10:20.011 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-03-26 17:10:20.786 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2026-03-26 17:10:20.797 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MiQroProbeHikariPool - Shutdown initiated...
2026-03-26 17:10:20.808 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MiQroProbeHikariPool - Shutdown completed.
2026-03-26 17:10:24.948 [main] INFO  c.miqroera.biosensor.MofBasedBiosensorApplication - Starting MofBasedBiosensorApplication using Java 17.0.12 with PID 36572 (D:\code\work\2-bio-group\mof-biosensor\mof-biosensor-server\target\classes started by PC in D:\code\work\2-bio-group\mof-biosensor\mof-biosensor-server)
2026-03-26 17:10:24.951 [main] INFO  c.miqroera.biosensor.MofBasedBiosensorApplication - The following 2 profiles are active: "knife4j", "dev"
2026-03-26 17:10:25.655 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-26 17:10:25.657 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2026-03-26 17:10:25.671 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 JDBC repository interfaces.
2026-03-26 17:10:25.683 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-26 17:10:25.684 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-03-26 17:10:25.697 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 Redis repository interfaces.
2026-03-26 17:10:26.258 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 9093 (http)
2026-03-26 17:10:26.269 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9093"]
2026-03-26 17:10:26.271 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-03-26 17:10:26.271 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.52]
2026-03-26 17:10:26.340 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2026-03-26 17:10:26.340 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1351 ms
2026-03-26 17:10:26.539 [main] INFO  c.m.biosensor.infra.config.SaTokenConfigration - 配置 SaToken 拦截器，排除路径：/api/login, /api/logout, /favicon.ico, /api/doc.html, /api/swagger-ui/**, /api/swagger-resources/**, /api/v2/api-docs, /api/v3/api-docs/**, /api/webjars/**, /api/actuator/**, /api/oauth2/**, /api/error/**
